,Title,imdbRating,Book Rating,Genre
123,The Brothers Karamazov,6.8,8.62,"Drama, Romance"
124,The Picture of Dorian Gray,7.6,8.12,"Drama, Fantasy, Horror"
125,Asfixia,5.2,7.38,"Short, Horror"
126,The Brothers Karamazov,6.8,8.62,"Drama, Romance"
127,The Brothers Karamazov,6.8,8.62,"Drama, Romance"
128,The Brothers Karamazov,6.8,8.62,"Drama, Romance"
129,The Very Hungry Caterpillar,5.3,8.58,"Short, Adventure, Horror"
130,The Brothers Karamazov,6.8,8.62,"Drama, Romance"
131,Moby Dick,7.4,6.94,"Adventure, Drama"
132,The Brothers Karamazov,6.8,8.62,"Drama, Romance"
133,The Very Hungry Caterpillar,5.3,8.58,"Short, Adventure, Horror"
134,She's Come Undone,6.8,7.68,Adult
135,The Phantom Tollbooth,7.0,8.44,"Family, Adventure, Animation"
136,David Copperfield,7.8,7.92,Drama
137,Great Expectations,6.8,7.5,"Drama, Romance"
138,In Cold Blood,8.0,8.1,"Biography, Crime, Drama"
139,Blindness,6.6,8.16,"Drama, Mystery, Sci-Fi"
140,Little Women,7.3,8.08,"Drama, Family, Romance"
141,Wuthering Heights,7.7,7.64,"Drama, Romance"
142,Wuthering Heights,7.7,7.64,"Drama, Romance"
143,Wuthering Heights,7.7,7.64,"Drama, Romance"
144,Wuthering Heights,7.7,7.64,"Drama, Romance"
145,Wuthering Heights,7.7,7.64,"Drama, Romance"
146,The Thorn Birds,8.0,8.44,Drama
147,High Fidelity,7.5,7.88,"Comedy, Drama, Music"
148,About a Boy,7.1,7.58,"Comedy, Drama, Romance"
149,About a Boy,7.1,7.58,"Comedy, Drama, Romance"
150,The World According to Garp,7.2,8.14,"Comedy, Drama"
151,Atlas Shrugged: Part I,5.7,7.36,"Drama, Mystery, Sci-Fi"
152,Atlas Shrugged: Part I,5.7,7.36,"Drama, Mystery, Sci-Fi"
153,Fahrenheit 451,7.3,7.94,"Drama, Sci-Fi"
154,Nineteen Eighty-Four,7.6,8.28,"Drama, Sci-Fi"
155,1984,7.2,8.28,"Drama, Sci-Fi"
156,The Unbearable Lightness of Being,7.4,8.16,"Drama, Romance"
157,1984,7.2,8.28,"Drama, Sci-Fi"
158,The Count of Monte Cristo,7.8,8.44,"Action, Adventure, Drama"
159,The Catcher in the Rye,2.1,7.58,
160,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
161,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
162,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
163,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
164,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
165,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
166,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
167,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
168,Lord of the Flies,6.4,7.3,"Adventure, Drama, Thriller"
169,Lord of the Flies,6.4,7.3,"Adventure, Drama, Thriller"
170,Lord of the Flies,6.4,7.3,"Adventure, Drama, Thriller"
171,The Lorax,6.4,8.7,"Animation, Adventure, Comedy"
172,The Canterbury Tales,6.5,6.96,"Comedy, Drama, History"
173,A Walk in the Woods,6.3,8.1,"Adventure, Biography, Comedy"
174,A Walk in the Woods,6.3,8.1,"Adventure, Biography, Comedy"
175,The Shipping News,6.8,7.66,Drama
176,Black Beauty,6.6,7.88,"Adventure, Drama, Family"
177,East of Eden,8.0,8.7,Drama
178,East of Eden,8.0,8.7,Drama
179,American Gods,8.1,8.22,"Drama, Fantasy, Mystery"
180,Cat's Cradle,6.2,8.36,Short
181,Lolita,7.6,7.76,"Crime, Drama, Romance"
182,Lolita,7.6,7.76,"Crime, Drama, Romance"
183,Gulliver's Travels,4.9,7.1,"Action, Adventure, Comedy"
184,Fear and Loathing in Las Vegas,7.7,8.16,"Adventure, Comedy, Drama"
185,The Martian Chronicles,6.7,8.24,"Drama, Mystery, Sci-Fi"
186,Bridget Jones's Diary,6.7,7.5,"Comedy, Drama, Romance"
187,Moby Dick,7.4,6.94,"Adventure, Drama"
188,Moby Dick,7.4,6.94,"Adventure, Drama"
189,Moby Dick,7.4,6.94,"Adventure, Drama"
190,Never Let Me Go,7.2,7.6,"Drama, Romance, Sci-Fi"
191,John Adams,8.6,8.1,"Biography, Drama, History"
192,Siddhartha,6.7,7.98,"Drama, Mystery"
193,Nickel and Dimed,,7.2,"Short, Drama"
194,The Odyssey,7.0,7.46,"Adventure, Drama, Fantasy"
195,The Odyssey,7.0,7.46,"Adventure, Drama, Fantasy"
196,The Iliad II : The Return,,7.66,"Animation, Short"
197,The Odyssey,7.0,7.46,"Adventure, Drama, Fantasy"
198,Le portrait de Dorian Gray,6.3,8.12,"Drama, Fantasy"
199,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
200,A Tale of Two Cities,7.8,7.62,"Drama, History, Romance"
201,Pride and Prejudice,8.9,8.48,"Drama, Romance"
202,The Secret Garden,7.3,8.24,"Drama, Family, Fantasy"
203,The Secret Garden,7.3,8.24,"Drama, Family, Fantasy"
204,Dear John,6.3,8.02,"Drama, Romance, War"
205,The Rescue,5.5,8.2,"Action, Adventure, Drama"
206,A Bend in the Road,6.4,8.04,"Short, Drama"
207,Lord of the Flies,6.4,7.3,"Adventure, Drama, Thriller"
208,The Age of Innocence,7.2,7.86,"Drama, Romance"
209,Der Prozess,,7.96,"Short, Drama"
210,Dear John,6.3,8.02,"Drama, Romance, War"
211,Where the Wild Things Are,6.8,8.44,"Adventure, Drama, Family"
212,The History of Love,6.4,7.82,"Drama, Romance, War"
213,The Adventures of Robinson Crusoe,8.1,7.32,Adventure
214,Robinson Crusoe,5.9,7.32,"Adventure, Drama"
215,Pride and Prejudice,8.9,8.48,"Drama, Romance"
216,Life of Pi,7.9,7.76,"Adventure, Drama, Fantasy"
217,The Art of War by Sun Tzu,7.9,7.9,"Action, Adventure"
218,Emma,6.7,7.98,"Comedy, Drama, Romance"
219,A Clockwork Orange,8.3,7.96,"Crime, Drama, Sci-Fi"
220,A Clockwork Orange,8.3,7.96,"Crime, Drama, Sci-Fi"
221,A Clockwork Orange,8.3,7.96,"Crime, Drama, Sci-Fi"
222,A Clockwork Orange,8.3,7.96,"Crime, Drama, Sci-Fi"
223,The 7 Habits of Highly Effective People,7.3,8.1,Documentary
224,The Hound of the Baskervilles,7.6,8.18,"Horror, Mystery, Thriller"
225,The Iliad II : The Return,,7.66,"Animation, Short"
226,The Iliad II : The Return,,7.66,"Animation, Short"
227,The Hound of the Baskervilles,7.6,8.18,"Horror, Mystery, Thriller"
228,Man's Search for Meaning,,8.66,Biography
229,Man's Search for Meaning,,8.66,Biography
230,The Witches,6.8,8.34,"Adventure, Comedy, Family"
231,Iliad,6.1,7.66,"Short, Mystery"
232,House of Sand and Fog,7.6,7.66,"Crime, Drama"
233,A Room with a View,7.4,7.82,"Drama, Romance"
234,Bridge to Terabithia,7.2,7.96,"Adventure, Drama, Family"
235,Bridge to Terabithia,7.2,7.96,"Adventure, Drama, Family"
236,The Old Man and the Sea,7.0,7.46,"Adventure, Drama"
237,Bridge to Terabithia,7.2,7.96,"Adventure, Drama, Family"
238,Big Fish in Middlesex,8.1,7.96,"Comedy, Drama"
239,The Metamorphosis,3.9,7.56,Short
240,Cloud Atlas,7.5,8.02,"Action, Drama, Mystery, Sci-Fi"
241,Perfume: The Story of a Murderer,7.5,8.0,"Crime, Drama, Fantasy"
242,Bridget Jones's Diary,6.7,7.5,"Comedy, Drama, Romance"
243,The Great Gatsby,7.3,7.78,"Drama, Romance"
244,The Great Gatsby,7.3,7.78,"Drama, Romance"
245,The Great Gatsby,7.3,7.78,"Drama, Romance"
246,Anne of Avonlea,8.3,8.42,"Drama, Family, Romance"
247,Anne of Avonlea,8.3,8.42,"Drama, Family, Romance"
248,Anne of Avonlea,8.3,8.42,"Drama, Family, Romance"
249,Catch-22,7.2,7.96,"Comedy, Drama, War"
250,Catch-22,7.2,7.96,"Comedy, Drama, War"
251,Fahrenheit 451,7.3,7.94,"Drama, Sci-Fi"
252,Macbeth,6.6,7.76,"Drama, History, War"
253,Macbeth,6.6,7.76,"Drama, History, War"
254,Macbeth,6.6,7.76,"Drama, History, War"
255,The House of the Spirits,6.9,8.4,"Drama, Romance"
256,The House of the Spirits,6.9,8.4,"Drama, Romance"
257,Great Expectations,6.8,7.5,"Drama, Romance"
258,Great Expectations,6.8,7.5,"Drama, Romance"
259,Great Expectations,6.8,7.5,"Drama, Romance"
260,Great Expectations,6.8,7.5,"Drama, Romance"
261,Memoirs of a Geisha,7.4,8.16,"Drama, Romance"
262,Breakfast at Tiffany's,7.7,7.78,"Comedy, Drama, Romance"
263,Never Let Me Go,7.2,7.6,"Drama, Romance, Sci-Fi"
264,Moby Dick,7.4,6.94,"Adventure, Drama"
265,Moby-Dick,,6.94,Music
266,Moby-Dick,,6.94,Music
267,Year of Wonders,,8.0,"Drama, History"
268,The Picture of Dorian Gray,7.6,8.12,"Drama, Fantasy, Horror"
269,The Good Earth,7.8,7.94,"Drama, Romance"
270,The Portrait of Dorian Gray,,8.12,Drama
271,Hamlet,7.8,8.0,Drama
272,Secret Garden,8.3,8.24,"Comedy, Drama, Fantasy"
273,The Dark Tower,5.7,8.54,"Action, Adventure, Fantasy"
274,The Great Gatsby,7.3,7.78,"Drama, Romance"
275,The Great Gatsby,7.3,7.78,"Drama, Romance"
276,Anne of Avonlea,8.3,8.42,"Drama, Family, Romance"
277,Snow Falling on Cedars,6.8,7.6,"Drama, Mystery, Romance"
278,Snow Falling on Cedars,6.8,7.6,"Drama, Mystery, Romance"
279,Persuasion,7.6,8.26,"Drama, Romance"
280,Cloud Atlas,7.5,8.02,"Action, Drama, Mystery, Sci-Fi"
281,The Bell Jar,5.7,7.96,"Biography, Drama"
282,The Bell Jar,5.7,7.96,"Biography, Drama"
283,Gulliver's Travels,4.9,7.1,"Action, Adventure, Comedy"
284,Gulliver's Travels,4.9,7.1,"Action, Adventure, Comedy"
285,Fear and Loathing in Las Vegas,7.7,8.16,"Adventure, Comedy, Drama"
286,Gulliver's Travels,4.9,7.1,"Action, Adventure, Comedy"
287,Gulliver's Travels,4.9,7.1,"Action, Adventure, Comedy"
288,Fear and Loathing in Las Vegas,7.7,8.16,"Adventure, Comedy, Drama"
289,Gulliver's Travels,4.9,7.1,"Action, Adventure, Comedy"
290,Gulliver's Travels,4.9,7.1,"Action, Adventure, Comedy"
291,The House of the Spirits,6.9,8.4,"Drama, Romance"
292,Breakfast at Tiffany's,7.7,7.78,"Comedy, Drama, Romance"
293,Breakfast at Tiffany's,7.7,7.78,"Comedy, Drama, Romance"
294,The Adventures of Huckleberry Finn,6.3,7.6,"Adventure, Comedy, Drama"
295,The Adventures of Huckleberry Finn,6.3,7.6,"Adventure, Comedy, Drama"
296,The Adventures of Huckleberry Finn,6.3,7.6,"Adventure, Comedy, Drama"
297,The Adventures of Huckleberry Finn,6.3,7.6,"Adventure, Comedy, Drama"
298,The Hours,7.6,7.82,"Drama, Romance"
299,Les heures souterraines,7.5,7.82,Drama
300,Brave New World,5.3,7.94,"Drama, Sci-Fi"
301,The Three Musketeers,5.8,8.12,"Action, Adventure, Romance"
302,Fahrenheit 451,7.3,7.94,"Drama, Sci-Fi"
303,Atonement,7.8,7.76,"Drama, Mystery, Romance"
304,Purpose Driven Life,,7.8,"Short, Drama"
305,The Good Earth,7.8,7.94,"Drama, Romance"
306,The Canterbury Tales,6.5,6.96,"Comedy, Drama, History"
307,The Handmaid's Tale,8.6,8.14,"Drama, Sci-Fi"
308,The Handmaid's Tale,8.6,8.14,"Drama, Sci-Fi"
309,Der Prozeß,7.1,7.96,Drama
310,The Catcher in the Rye,2.1,7.58,
311,Life of Pi,7.9,7.76,"Adventure, Drama, Fantasy"
312,Big Fish in Middlesex,8.1,7.96,"Comedy, Drama"
313,She's Come Undone,6.8,7.68,Adult
314,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,6.2,8.3,"Family, Drama, Comedy"
315,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,6.2,8.3,"Family, Drama, Comedy"
316,Robinson Crusoe,5.9,7.32,"Adventure, Drama"
317,The Devil Wears Prada,6.9,7.4,"Comedy, Drama"
318,A Separate Peace,5.4,7.12,"Drama, War"
319,The Devil Wears Prada,6.9,7.4,"Comedy, Drama"
320,The Odyssey,7.0,7.46,"Adventure, Drama, Fantasy"
321,The Odyssey,7.0,7.46,"Adventure, Drama, Fantasy"
322,The Woman in White,6.6,7.96,"Drama, Mystery, Romance"
323,The Woman in White,6.6,7.96,"Drama, Mystery, Romance"
324,The Woman in White,6.6,7.96,"Drama, Mystery, Romance"
325,The Importance of Being Earnest,6.9,8.34,"Comedy, Drama, Romance"
326,The Woman in White,6.6,7.96,"Drama, Mystery, Romance"
327,The Woman in White,6.6,7.96,"Drama, Mystery, Romance"
328,The Woman in White,6.6,7.96,"Drama, Mystery, Romance"
329,The Pearl,7.6,6.82,"Adventure, Drama, Romance"
330,The Bell Jar,5.7,7.96,"Biography, Drama"
331,Lord of the Flies,6.4,7.3,"Adventure, Drama, Thriller"
332,The Art of War,5.7,7.9,"Action, Adventure, Crime"
333,A Separate Peace,5.4,7.12,"Drama, War"
334,A Separate Peace,5.4,7.12,"Drama, War"
335,The Corrections,7.2,7.56,Drama
336,Of Mice and Men,7.5,7.68,Drama
337,Lolita,7.6,7.76,"Crime, Drama, Romance"
338,Animal Farm,7.2,7.76,"Animation, Drama"
339,Animal Farm,7.2,7.76,"Animation, Drama"
340,Into the Wild,8.1,7.9,"Adventure, Biography, Drama"
341,V for Vendetta,8.2,8.5,"Action, Drama, Sci-Fi"
342,Bridge to Terabithia,7.2,7.96,"Adventure, Drama, Family"
343,The Picture of Dorian Gray,7.6,8.12,"Drama, Fantasy, Horror"
344,The Picture of Dorian Gray,7.6,8.12,"Drama, Fantasy, Horror"
345,The Picture of Dorian Gray,7.6,8.12,"Drama, Fantasy, Horror"
346,Fahrenheit 451,7.3,7.94,"Drama, Sci-Fi"
347,The Wind in the Willows,7.8,7.96,"Animation, Adventure, Family"
348,Catch-22,7.2,7.96,"Comedy, Drama, War"
349,Tuesdays with Morrie,7.5,8.14,"Biography, Drama"
350,The God of Small Things,,7.84,"Short, Drama"
351,Angela's Ashes,7.3,8.16,Drama
352,Angels & Demons,6.7,7.72,"Mystery, Thriller"
353,The Phantom Tollbooth,7.0,8.44,"Family, Adventure, Animation"
354,The Woman in White,6.6,7.96,"Drama, Mystery, Romance"
355,Snow Falling on Cedars,6.8,7.6,"Drama, Mystery, Romance"
356,The Thorn Birds,8.0,8.44,Drama
357,Hamlet,7.8,8.0,Drama
358,The Old Man and the Sea,7.0,7.46,"Adventure, Drama"
359,Hamlet,7.8,8.0,Drama
360,A Midsummer Night's Dream,6.5,7.88,"Comedy, Fantasy, Romance"
361,Veronika Decides to Die,6.5,7.38,"Drama, Romance"
362,Hamlet,7.8,8.0,Drama
363,Pride and Prejudice,8.9,8.48,"Drama, Romance"
364,The Awakening,6.5,7.26,"Horror, Thriller"
365,The Reader,7.6,7.46,"Drama, Romance"
366,A Midsummer Night's Dream,6.5,7.88,"Comedy, Fantasy, Romance"
367,The Five People You Meet in Heaven,7.4,7.8,"Drama, Fantasy"
368,The Lovely Bones,6.7,7.56,"Drama, Fantasy, Thriller"
369,The Things They Carried,7.2,8.24,"Short, Action, Drama"
370,The Great Gatsby,7.3,7.78,"Drama, Romance"
371,The 12 Year Old Shopaholic and Other Big Spending Kids,,8.42,Documentary
372,National Theatre Live: The Curious Incident of the Dog in the Night-Time,8.2,7.56,
373,Matilda,6.9,7.7,"Comedy, Family, Fantasy"
374,The Secret Garden,7.3,8.48,"Drama, Family, Fantasy"
375,The Secret Garden,7.3,8.24,"Drama, Family, Fantasy"
376,The Secret Garden,7.3,8.24,"Drama, Family, Fantasy"
377,Of Mice and Men,7.5,8.24,Drama
378,Of Mice and Men,7.5,7.68,Drama
379,A Million Little Pieces,1.3,7.68,
380,The Bell Jar,5.7,7.24,"Biography, Drama"
381,Robinson Crusoe,5.9,8.08,"Adventure, Drama"
382,Robinson Crusoe,5.9,7.32,"Adventure, Drama"
383,Robinson Crusoe,5.9,7.32,"Adventure, Drama"
384,Robinson Crusoe,5.9,7.32,"Adventure, Drama"
385,Robinson Crusoe,5.9,7.32,"Adventure, Drama"
386,Anne of Avonlea,8.3,8.42,"Drama, Family, Romance"
387,Moby-Dick,,8.58,Music
388,Moby Dick,7.4,6.94,"Adventure, Drama"
389,Moby-Dick,,6.94,Music
390,The Prophet,7.1,7.78,"Animation, Drama"
391,Der Prozess,,8.46,"Short, Drama"
392,A Million Little Pieces,1.3,8.66,
393,The Brothers Karamazov,6.8,7.24,"Drama, Romance"
394,The Brothers Karamazov,6.8,8.62,"Drama, Romance"
395,Atlas Shrugged: Part I,5.7,8.62,"Drama, Mystery, Sci-Fi"
396,Atlas Shrugged: Part I,5.7,8.08,"Drama, Mystery, Sci-Fi"
397,Atlas Shrugged: Part I,5.7,7.36,"Drama, Mystery, Sci-Fi"
398,Atlas Shrugged: Part I,5.7,7.36,"Drama, Mystery, Sci-Fi"
399,Memoirs of a Geisha,7.4,7.48,"Drama, Romance"
400,Midnight in the Garden of Good and Evil,6.6,8.16,"Crime, Drama, Mystery"
401,Midnight in the Garden of Good and Evil,6.6,7.8,"Crime, Drama, Mystery"
402,Robinson Crusoe,5.9,7.8,"Adventure, Drama"
403,Robinson Crusoe,5.9,7.32,"Adventure, Drama"
404,National Theatre Live: The Curious Incident of the Dog in the Night-Time,8.2,7.32,
405,Anna Karenina,6.6,8.04,"Drama, Romance"
406,THINK and GROW RICH: The Legacy,9.1,8.04,Documentary
407,THINK and GROW RICH: The Legacy,9.1,8.34,Documentary
408,THINK and GROW RICH: The Legacy,9.1,8.34,Documentary
409,THINK and GROW RICH: The Legacy,9.1,8.34,Documentary
410,THINK and GROW RICH: The Legacy,9.1,8.34,Documentary
411,Treasure Island,7.0,8.26,"Adventure, Family"
412,Treasure Island,7.0,7.64,"Adventure, Family"
413,The Glass Castle,7.2,7.8,"Biography, Drama"
414,The Glass Castle,7.2,8.48,"Biography, Drama"
415,The Glass Castle,7.2,8.48,"Biography, Drama"
416,National Theatre Live: The Curious Incident of the Dog in the Night-Time,8.2,8.48,
417,Robinson Crusoe,5.9,8.48,"Adventure, Drama"
418,Robinson Crusoe,5.9,7.32,"Adventure, Drama"
419,A Little Princess,7.7,7.32,"Drama, Family, Fantasy"
420,The Secret Garden,7.3,8.38,"Drama, Family, Fantasy"
421,Little Women,7.3,8.24,"Drama, Family, Romance"
422,Little Women,7.3,8.08,"Drama, Family, Romance"
423,High Fidelity,7.5,8.08,"Comedy, Drama, Music"
424,About a Boy,7.1,7.88,"Comedy, Drama, Romance"
425,Heidi,7.3,8.42,"Drama, Family, Musical"
426,Atonement,7.8,7.94,"Drama, Mystery, Romance"
427,A Midsummer Night's Dream,6.5,7.76,"Comedy, Fantasy, Romance"
428,La conspiración,,7.72,Thriller
429,A Christmas Carol,6.8,7.22,"Animation, Drama, Family"
430,The Rainmaker,7.1,8.04,"Crime, Drama, Thriller"
431,Los Angeles Plays Itself,8.0,7.54,"Documentary, History"
432,The Sun Also Rises,6.3,7.72,Drama
433,The Sun Also Rises,6.3,7.66,Drama
434,The Sun Also Rises,6.3,7.66,Drama
435,The Shipping News,6.8,7.66,Drama
436,El principito,,7.86,"Animation, Short"
437,Der kleine Prinz,7.9,8.56,Animation
438,The Little Prince,7.8,8.56,"Animation, Adventure, Drama"
439,El principito,,8.56,"Animation, Short"
440,On the Road,6.1,8.56,"Adventure, Drama, Romance"
441,National Theatre Live: The Curious Incident of the Dog in the Night-Time,8.2,7.72,
442,National Theatre Live: The Curious Incident of the Dog in the Night-Time,8.2,7.7,
443,Snapshots from a Vacation or a Film Titled a Fine Balance,,8.08,"Documentary, Short, Biography"
444,The Iliad II : The Return,,8.68,"Animation, Short"
445,The Good Earth,7.8,7.66,"Drama, Romance"
446,The Stand,7.2,7.94,"Adventure, Drama, Fantasy"
447,Oedipus Rex,7.5,8.68,Drama
448,Oedipus the King,6.8,7.34,Drama
