,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,Book Rating
21,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald",1 nomination.,N/A,"UK, USA",25 Apr 2006,Byron Haskin,,"Adventure, Family",English,N/A,The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.,https://m.media-amazon.com/images/M/MV5BMWMzZDM5ZTEtNDY2Yi00NjhjLTkwZjgtYjQ2MjVlMGZhYmQ2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",19 Jul 1950,True,96 min,Treasure Island,movie,N/A,"Lawrence Edward Watkin (screenplay), Robert Louis Stevenson (story)",1950,tt0043067,7.0,"5,697",,3.82
22,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald",1 nomination.,N/A,"UK, USA",25 Apr 2006,Byron Haskin,,"Adventure, Family",English,N/A,The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.,https://m.media-amazon.com/images/M/MV5BMWMzZDM5ZTEtNDY2Yi00NjhjLTkwZjgtYjQ2MjVlMGZhYmQ2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",19 Jul 1950,True,96 min,Treasure Island,movie,N/A,"Lawrence Edward Watkin (screenplay), Robert Louis Stevenson (story)",1950,tt0043067,7.0,"5,697",,3.82
23,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald",1 nomination.,N/A,"UK, USA",25 Apr 2006,Byron Haskin,,"Adventure, Family",English,N/A,The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.,https://m.media-amazon.com/images/M/MV5BMWMzZDM5ZTEtNDY2Yi00NjhjLTkwZjgtYjQ2MjVlMGZhYmQ2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",19 Jul 1950,True,96 min,Treasure Island,movie,N/A,"Lawrence Edward Watkin (screenplay), Robert Louis Stevenson (story)",1950,tt0043067,7.0,"5,697",,3.82
24,N/A,N/A,N/A,USA,N/A,N/A,,N/A,English,N/A,"75 minutes and 6 seconds of blue screen, what else must you know?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5OTQzMDQ4MV5BMl5BanBnXkFtZTcwMjA1MTU2MQ@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '2.1/10'}]",18 Feb 2008,True,75 min,The Catcher in the Rye,movie,N/A,N/A,2008,tt1206286,2.1,632,,3.79
25,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.19
26,"Shane West, Mandy Moore, Peter Coyote, Daryl Hannah",4 wins & 2 nominations.,"$41,090,572",USA,09 Jul 2002,Adam Shankman,,"Drama, Romance",English,35,"The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service.",https://m.media-amazon.com/images/M/MV5BMzU3NTYxM2MtNjViMS00YmNlLWEwM2MtYWI2MzgzNTkxODFjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",25 Jan 2002,True,101 min,A Walk to Remember,movie,http://awalktoremember.warnerbros.com,"Nicholas Sparks (novel), Karen Janszen (screenplay)",2002,tt0281358,7.4,"182,839",,4.15
27,"Kevin Costner, Robin Wright, Paul Newman, John Savage",6 nominations.,N/A,USA,03 Aug 1999,Luis Mandoki,,"Drama, Romance",English,39,"A woman discovers a tragic love letter in a bottle on a beach, and is determined to track down its author.",https://m.media-amazon.com/images/M/MV5BNzk4YmJmZjAtMjc5Yy00ZWNmLTkzYTgtM2ZhM2Y1ZWE3MGM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",12 Feb 1999,True,126 min,Message in a Bottle,movie,N/A,"Nicholas Sparks (novel), Gerald Di Pego (screenplay)",1999,tt0139462,6.2,"32,381",,3.95
28,"Tim Ivey, Gena Rowlands, Starletta DuPois, James Garner",12 wins & 10 nominations.,"$81,000,000",USA,08 Feb 2005,Nick Cassavetes,,"Drama, Romance",English,53,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",https://m.media-amazon.com/images/M/MV5BMTk3OTM5Njg5M15BMl5BanBnXkFtZTYwMzA0ODI3._V1_SX300.jpg,New Line Cinema,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",25 Jun 2004,True,123 min,The Notebook,movie,http://www.thenotebookmovie.com/,"Jeremy Leven (screenplay), Jan Sardi (adaptation), Nicholas Sparks (novel)",2004,tt0332280,7.9,"453,407",,4.07
29,Gustavo Alonso,N/A,N/A,Uruguay,N/A,Pablo Moreira,,"Short, Horror",Spanish,N/A,N/A,N/A,N/A,N/A,[],N/A,True,N/A,El Guardián,movie,N/A,"Pablo Moreira, Siraco",2016,tt5698306,N/A,N/A,,4.14
30,"Richard Gere, Diane Lane, Christopher Meloni, Viola Davis",1 nomination.,"$41,840,908","USA, Australia",10 Feb 2009,George C. Wolfe,,"Drama, Romance","English, Spanish",39,A doctor who is traveling to see his estranged son sparks with an unhappily married woman at a North Carolina inn.,https://m.media-amazon.com/images/M/MV5BMTI2MDA0MTI0Ml5BMl5BanBnXkFtZTcwMDkzNDMwMg@@._V1_SX300.jpg,Warner Bros. Pictures/Village Roadshow,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",26 Sep 2008,True,97 min,Nights in Rodanthe,movie,http://www.nightsinrodanthe.com/,"Ann Peacock (screenplay), John Romano (screenplay), Nicholas Sparks (novel)",2008,tt0956038,6.0,"20,186",,3.82
31,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.07
32,"Kevin Costner, Robin Wright, Paul Newman, John Savage",6 nominations.,N/A,USA,03 Aug 1999,Luis Mandoki,,"Drama, Romance",English,39,"A woman discovers a tragic love letter in a bottle on a beach, and is determined to track down its author.",https://m.media-amazon.com/images/M/MV5BNzk4YmJmZjAtMjc5Yy00ZWNmLTkzYTgtM2ZhM2Y1ZWE3MGM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",12 Feb 1999,True,126 min,Message in a Bottle,movie,N/A,"Nicholas Sparks (novel), Gerald Di Pego (screenplay)",1999,tt0139462,6.2,"32,381",,3.95
33,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,3.52
34,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,3.52
35,"Megan Follows, Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton",Won 1 Primetime Emmy. Another 11 wins & 6 nominations.,,"Canada, West Germany, USA",,N/A,,"Drama, Family",English,N/A,"An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.","https://m.media-amazon.com/images/M/MV5BNDI4MjA2MzUxOV5BMl5BanBnXkFtZTcwNjE0MjE2MQ@@._V1._CR53,69,306,401_SY132_CR6,0,89,132_AL_.jpg_V1_SX300.jpg",,TV-G,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",17 Feb 1986,True,199 min,Anne of Green Gables,series,,N/A,1985,tt0088727,8.4,"17,129",1,4.23
36,"Megan Follows, Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton",Won 1 Primetime Emmy. Another 11 wins & 6 nominations.,,"Canada, West Germany, USA",,N/A,,"Drama, Family",English,N/A,"An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.","https://m.media-amazon.com/images/M/MV5BNDI4MjA2MzUxOV5BMl5BanBnXkFtZTcwNjE0MjE2MQ@@._V1._CR53,69,306,401_SY132_CR6,0,89,132_AL_.jpg_V1_SX300.jpg",,TV-G,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",17 Feb 1986,True,199 min,Anne of Green Gables,series,,N/A,1985,tt0088727,8.4,"17,129",1,4.23
37,"Megan Follows, Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton",Won 1 Primetime Emmy. Another 11 wins & 6 nominations.,,"Canada, West Germany, USA",,N/A,,"Drama, Family",English,N/A,"An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.","https://m.media-amazon.com/images/M/MV5BNDI4MjA2MzUxOV5BMl5BanBnXkFtZTcwNjE0MjE2MQ@@._V1._CR53,69,306,401_SY132_CR6,0,89,132_AL_.jpg_V1_SX300.jpg",,TV-G,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",17 Feb 1986,True,199 min,Anne of Green Gables,series,,N/A,1985,tt0088727,8.4,"17,129",1,4.23
38,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.21
39,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.23
40,"Marilyn Lightstone, Schuyler Grant, Rosemary Dunsmore, Kate Lynch",8 wins & 6 nominations.,,"Canada, USA, UK",,N/A,,"Drama, Family, Romance",English,N/A,Anne Shirley accepts a teaching position at a girls boarding school in a town dominated by a rich and belligerant family determined to make her life miserable.,https://m.media-amazon.com/images/M/MV5BODE0NjQ5ODkyN15BMl5BanBnXkFtZTcwNjY3MDU3Nw@@._V1_SX300.jpg,,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",19 May 1987,True,230 min,Anne of Avonlea,series,,N/A,1987,tt0092571,8.3,"7,561",1,4.21
41,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.02
42,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.02
43,"Victoria Vera, Hugo Stiglitz, Héctor Alterio, José Calvo",1 nomination.,N/A,"Spain, Mexico",N/A,Carlos Puerto,,N/A,Spanish,N/A,N/A,N/A,N/A,N/A,[],01 Sep 1980,True,90 min,En mil pedazos,movie,N/A,"Juan José Porto, Carlos Puerto",1980,tt0082325,N/A,N/A,,3.62
44,"Colin Firth, Scarlett Johansson, Tom Wilkinson, Judy Parfitt",Nominated for 3 Oscars. Another 17 wins & 41 nominations.,"$11,505,906","UK, Luxembourg",04 May 2004,Peter Webber,,"Biography, Drama, Romance",English,72,A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.,https://m.media-amazon.com/images/M/MV5BOTU3NTg5NDYtNWNkMC00ODZiLTljZjQtNjZhNjlhNjZiNDBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Exhibition On Screen,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",30 Jan 2004,True,100 min,Girl with a Pearl Earring,movie,http://www.exhibitiononscreen.com/girl-with-a-pearl-earring,"Tracy Chevalier (novel), Olivia Hetreed (screenplay)",2003,tt0335119,6.9,"66,463",,3.85
45,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,3.85
46,"Colin Firth, Scarlett Johansson, Tom Wilkinson, Judy Parfitt",Nominated for 3 Oscars. Another 17 wins & 41 nominations.,"$11,505,906","UK, Luxembourg",04 May 2004,Peter Webber,,"Biography, Drama, Romance",English,72,A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.,https://m.media-amazon.com/images/M/MV5BOTU3NTg5NDYtNWNkMC00ODZiLTljZjQtNjZhNjlhNjZiNDBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Exhibition On Screen,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",30 Jan 2004,True,100 min,Girl with a Pearl Earring,movie,http://www.exhibitiononscreen.com/girl-with-a-pearl-earring,"Tracy Chevalier (novel), Olivia Hetreed (screenplay)",2003,tt0335119,6.9,"66,463",,3.85
47,"Colin Firth, Scarlett Johansson, Tom Wilkinson, Judy Parfitt",Nominated for 3 Oscars. Another 17 wins & 41 nominations.,"$11,505,906","UK, Luxembourg",04 May 2004,Peter Webber,,"Biography, Drama, Romance",English,72,A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.,https://m.media-amazon.com/images/M/MV5BOTU3NTg5NDYtNWNkMC00ODZiLTljZjQtNjZhNjlhNjZiNDBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Exhibition On Screen,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",30 Jan 2004,True,100 min,Girl with a Pearl Earring,movie,http://www.exhibitiononscreen.com/girl-with-a-pearl-earring,"Tracy Chevalier (novel), Olivia Hetreed (screenplay)",2003,tt0335119,6.9,"66,463",,3.85
48,"Jennifer Ehle, Colin Firth, Susannah Harker, Julia Sawalha",Won 1 Primetime Emmy. Another 8 wins & 13 nominations.,,UK,,N/A,,"Drama, Romance",English,N/A,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",https://m.media-amazon.com/images/M/MV5BMDM0MjFlOGYtNTg2ZC00MmRkLTg5OTQtM2U5ZjUyYTgxZThiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",14 Jan 1996,True,327 min,Pride and Prejudice,series,,N/A,1995,tt0112130,8.9,"64,411",1,4.24
49,"Jennifer Ehle, Colin Firth, Susannah Harker, Julia Sawalha",Won 1 Primetime Emmy. Another 8 wins & 13 nominations.,,UK,,N/A,,"Drama, Romance",English,N/A,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",https://m.media-amazon.com/images/M/MV5BMDM0MjFlOGYtNTg2ZC00MmRkLTg5OTQtM2U5ZjUyYTgxZThiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",14 Jan 1996,True,327 min,Pride and Prejudice,series,,N/A,1995,tt0112130,8.9,"64,411",1,4.24
50,"Jennifer Ehle, Colin Firth, Susannah Harker, Julia Sawalha",Won 1 Primetime Emmy. Another 8 wins & 13 nominations.,,UK,,N/A,,"Drama, Romance",English,N/A,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",https://m.media-amazon.com/images/M/MV5BMDM0MjFlOGYtNTg2ZC00MmRkLTg5OTQtM2U5ZjUyYTgxZThiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",14 Jan 1996,True,327 min,Pride and Prejudice,series,,N/A,1995,tt0112130,8.9,"64,411",1,4.24
51,"Jennifer Ehle, Colin Firth, Susannah Harker, Julia Sawalha",Won 1 Primetime Emmy. Another 8 wins & 13 nominations.,,UK,,N/A,,"Drama, Romance",English,N/A,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",https://m.media-amazon.com/images/M/MV5BMDM0MjFlOGYtNTg2ZC00MmRkLTg5OTQtM2U5ZjUyYTgxZThiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",14 Jan 1996,True,327 min,Pride and Prejudice,series,,N/A,1995,tt0112130,8.9,"64,411",1,4.24
52,"Carey Mulligan, Andrew Garfield, Izzy Meikle-Small, Charlie Rowe",7 wins & 26 nominations.,"$2,412,045","UK, USA",21 Sep 2010,Mark Romanek,,"Drama, Romance, Sci-Fi",English,69,"The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking.",https://m.media-amazon.com/images/M/MV5BMTM3NDQ1MjE2OF5BMl5BanBnXkFtZTcwNDIxNTk2Mw@@._V1_SX300.jpg,Fox Searchlight Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",15 Oct 2010,True,103 min,Never Let Me Go,movie,http://www.foxsearchlight.com/neverletmego/,"Kazuo Ishiguro (novel), Alex Garland (screenplay)",2010,tt1334260,7.2,"126,104",,3.8
53,"Carey Mulligan, Andrew Garfield, Izzy Meikle-Small, Charlie Rowe",7 wins & 26 nominations.,"$2,412,045","UK, USA",21 Sep 2010,Mark Romanek,,"Drama, Romance, Sci-Fi",English,69,"The lives of three friends, from their early school days into young adulthood, when the reality of the world they live in comes knocking.",https://m.media-amazon.com/images/M/MV5BMTM3NDQ1MjE2OF5BMl5BanBnXkFtZTcwNDIxNTk2Mw@@._V1_SX300.jpg,Fox Searchlight Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",15 Oct 2010,True,103 min,Never Let Me Go,movie,http://www.foxsearchlight.com/neverletmego/,"Kazuo Ishiguro (novel), Alex Garland (screenplay)",2010,tt1334260,7.2,"126,104",,3.8
54,"Guy Pearce, Mark Addy, Phyllida Law, Sienna Guillory",Nominated for 1 Oscar. Another 2 wins & 3 nominations.,"$56,684,819",USA,23 Jul 2002,Simon Wells,,"Action, Adventure, Sci-Fi",English,42,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",https://m.media-amazon.com/images/M/MV5BMTM4YTViNGMtYTYyOS00MTViLWEyYTgtNGM0OTIwMWRmYzdhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,DreamWorks SKG,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",08 Mar 2002,True,96 min,The Time Machine,movie,http://www.countingdown.com/timemachine,"H.G. Wells (novel), David Duncan (earlier screenplay), John Logan (screenplay)",2002,tt0268695,5.9,"110,604",,3.87
55,"Guy Pearce, Mark Addy, Phyllida Law, Sienna Guillory",Nominated for 1 Oscar. Another 2 wins & 3 nominations.,"$56,684,819",USA,23 Jul 2002,Simon Wells,,"Action, Adventure, Sci-Fi",English,42,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",https://m.media-amazon.com/images/M/MV5BMTM4YTViNGMtYTYyOS00MTViLWEyYTgtNGM0OTIwMWRmYzdhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,DreamWorks SKG,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",08 Mar 2002,True,96 min,The Time Machine,movie,http://www.countingdown.com/timemachine,"H.G. Wells (novel), David Duncan (earlier screenplay), John Logan (screenplay)",2002,tt0268695,5.9,"110,604",,3.87
