"publisher","dagger","book_review_link","author","primary_isbn10","price","primary_isbn13","sunday_review_link","date","first_chapter_link","contributor","title","age_group","weeks_on_list"
"Andrews McMeel",0,"https://www.nytimes.com/2017/12/15/books/review/rupi-kaur-instapoets.html","Rupi Kaur","1449486797",0,"9.78145E+12",NA,"4/1/18",NA,"by Rupi Kaur","THE SUN AND HER FLOWERS",NA,20
"Doubleday",0,NA,"Dan Brown","385514239",0,"9.78039E+12",NA,"3/4/18",NA,"by Dan Brown","ORIGIN",NA,20
"Ballantine",0,NA,"Martha Hall Kelly","1101883081",0,"9.7811E+12",NA,"9/17/17",NA,"by Martha Hall Kelly","LILAC GIRLS",NA,20
"Scribner",0,"https://www.nytimes.com/2011/10/31/books/stephen-kings-11-23-63-review.html","Stephen King","1501120603",0,"9.78E+12","https://www.nytimes.com/2011/11/13/books/review/11-22-63-by-stephen-king-book-review.html","3/6/16",NA,"by Stephen King","11/22/63",NA,19
"Vintage",0,NA,"E L James","345803574",0,"9.78E+12",NA,"3/8/15",NA,"by E. L. James","FIFTY SHADES TRILOGY",NA,19
"Forge Books",0,NA,"W Bruce Cameron","765388111",0,"9.78077E+12",NA,"4/30/17",NA,"by W. Bruce Cameron","A DOG'S PURPOSE",NA,18
"Entangled Publishing",0,NA,"Jennifer Probst","None",0,"A00B00790TI0W",NA,"9/2/12",NA,"by Jennifer Probst","THE MARRIAGE BARGAIN",NA,17
"St. Martin's",0,NA,"Kristin Hannah","125016561X",0,"9.78125E+12",NA,"6/9/18",NA,"by Kristin Hannah","THE GREAT ALONE",NA,16
"Doubleday",0,"https://www.nytimes.com/2016/08/14/books/review/colson-whitehead-underground-railroad.html","Colson Whitehead","385542364",0,"9.78039E+12",NA,"2/12/17",NA,"by Colson Whitehead","THE UNDERGROUND RAILROAD",NA,16
"Ballantine",0,"https://www.nytimes.com/2016/10/16/books/review/jodi-picoult-small-great-things-roxane-gay.html","Jodi Picoult","034554496X",0,"9.78035E+12",NA,"2/12/17",NA,"by Jodi Picoult","SMALL GREAT THINGS",NA,16
"Grand Central",0,NA,"Nicholas Sparks","1455520691",0,"9.78146E+12",NA,"2/5/17",NA,"by Nicholas Sparks","TWO BY TWO",NA,16
"Harper",0,"https://www.nytimes.com/2015/07/11/books/review-harper-lees-go-set-a-watchman-gives-atticus-finch-a-dark-side.html","Harper Lee","62409875",0,"9.78006E+12","https://www.nytimes.com/2015/07/14/books/review/harper-lees-go-set-a-watchman.html","7/10/16",NA,"by Harper Lee","GO SET A WATCHMAN",NA,16
"Morrow",0,NA,"AJ Finn","62678418",0,"9.78006E+12",NA,"5/6/18",NA,"by A.J. Finn","THE WOMAN IN THE WINDOW",NA,15
"Scribner",0,NA,"Stephen King","1501175467",0,"9.7815E+12",NA,"12/10/17",NA,"by Stephen King","IT",NA,15
"Grand Central",0,NA,"Nicholas Sparks","1455520608",0,"9.78146E+12",NA,"7/2/17",NA,"by Nicholas Sparks","SEE ME",NA,15
"Grand Central",0,NA,"David Baldacci","446573043",0,"9.78045E+12",NA,"5/5/13",NA,"by David Baldacci","THE FORGOTTEN",NA,15
"Delacorte",0,"https://www.nytimes.com/2017/11/08/books/review-midnight-line-jack-reacher-lee-child.html","Lee Child","399593500",0,"9.7804E+12",NA,"6/9/18",NA,"by Lee Child","THE MIDNIGHT LINE",NA,14
"Doubleday",0,NA,"John Grisham","385541171",0,"9.78039E+12",NA,"2/11/18",NA,"by John Grisham","THE ROOSTER BAR",NA,14
"Grand Central",0,NA,"David Baldacci","145558648X",0,"9.78146E+12",NA,"5/14/17",NA,"by David Baldacci","THE LAST MILE",NA,14
"Riverhead",0,NA,"Paula Hawkins","735211221",0,"9.78074E+12",NA,"6/3/18",NA,"by Paula Hawkins","INTO THE WATER",NA,13
"Windblown Media",0,NA,"William P Young","964729237",0,"9.78096E+12",NA,"5/7/17",NA,"by William P. Young","THE SHACK",NA,13
"Sarah Crichton/Farrar, Straus & Giroux",0,NA,"Matthew Quick","142996023X",0,"9.78143E+12",NA,"6/2/13",NA,"by Matthew Quick","THE SILVER LININGS PLAYBOOK",NA,13
"Delacorte Press",0,"https://www.nytimes.com/2012/02/13/books/defending-jacob-by-william-landay.html","William Landay","345527593",0,"9.78035E+12",NA,"4/7/13",NA,"by William Landay","DEFENDING JACOB",NA,13
"Grand Central",0,NA,"David Baldacci","1455586587",0,"9.78146E+12",NA,"4/1/18",NA,"by David Baldacci","THE FIX",NA,12
"Grand Central",0,NA,"David Baldacci","1455521167",0,"9.78E+12",NA,"4/12/15",NA,"by David Baldacci","THE ESCAPE",NA,12
"Darcie Chan",0,NA,"Darcie Chan","None",0,"9.78E+12",NA,"9/29/13",NA,"by Darcie Chan","THE MILL RIVER RECLUSE",NA,12
"Houghton Mifflin Harcourt",0,NA,"Yann Martel","547416113",0,"9.78055E+12",NA,"4/7/13",NA,"by Yann Martel","LIFE OF PI",NA,12
"Delacorte",0,NA,"Lee Child","804178828",0,"9.7808E+12",NA,"6/18/17",NA,"by Lee Child","NIGHT SCHOOL",NA,11
"Berkley",0,NA,"Nora Roberts","110198760X",0,"9.7811E+12",NA,"4/23/17",NA,"by Nora Roberts","THE OBSESSION",NA,11
"Ecco/HarperCollins",0,NA,"Cynthia D'Aprix Sweeney","62414216",0,"9.78006E+12",NA,"6/19/16",NA,"by Cynthia D'Aprix Sweeney","THE NEST",NA,11
"Grand Central",0,NA,"David Baldacci","1455586501",0,"9.78146E+12",NA,"4/9/17",NA,"by David Baldacci","NO MAN'S LAND",NA,10
"Little, Brown",0,NA,"James Patterson","031640716X",0,"9.78032E+12",NA,"3/26/17",NA,"by James Patterson","CROSS THE LINE",NA,10
"Grand Central",0,NA,"David Baldacci","1455586439",0,"9.78E+12",NA,"4/17/16",NA,"by David Baldacci","THE GUILTY",NA,10
"Putnam",0,NA,"Nora Roberts","1101989750",0,"9.78E+12",NA,"4/10/16",NA,"by Nora Roberts","THE LIAR",NA,10
"Knopf",0,NA,"David Lagercrantz","385354290",0,"9.78E+12",NA,"3/13/16",NA,"by David Lagercrantz","THE GIRL IN THE SPIDER'S WEB",NA,10
"Little, Brown & Company",0,NA,"James Patterson","None",0,"9.78032E+12",NA,"2/5/12",NA,"by James Patterson","KILL ALEX CROSS",NA,10
"Knopf Doubleday",0,"https://www.nytimes.com/2010/11/08/books/08book.html","John Grisham","440245117",0,"9.78044E+12",NA,"9/11/11",NA,"by John Grisham","THE CONFESSION",NA,10
"Vintage",0,NA,"EL James","385543980",0,"9.78039E+12",NA,"2/25/18",NA,"by E.L. James","DARKER",NA,9
"Viking",0,NA,"Ken Follett","052595497X",0,"9.78053E+12",NA,"12/10/17",NA,"by Ken Follett","A COLUMN OF FIRE",NA,9
"Flatiron",0,NA,"Liane Moriarty","1250069815",0,"9.78125E+12",NA,"1/15/17",NA,"by Liane Moriarty","TRULY MADLY GUILTY",NA,9
"Grand Central",0,NA,"Nicholas Sparks","446401315",0,"9.78E+12",NA,"3/6/16",NA,"by Nicholas Sparks","THE CHOICE",NA,9
"Delacorte",0,NA,"Lee Child","804178755",0,"9.78E+12",NA,"5/24/15",NA,"by Lee Child","PERSONAL",NA,9
"Little, Brown",0,NA,"James Patterson","None",0,"9.78E+12",NA,"2/8/15",NA,"by James Patterson","HOPE TO DIE",NA,9
"Grand Central",0,NA,"Nicholas Sparks","None",0,"9.78E+12",NA,"11/16/14",NA,"by Nicholas Sparks","THE BEST OF ME",NA,9
"Grand Central",0,NA,"David Baldacci","145552123X",0,"9.78E+12",NA,"7/6/14",NA,"by David Baldacci","THE TARGET",NA,9
"Grand Central",0,NA,"David Baldacci","1455521280",0,"9.78E+12",NA,"7/7/13",NA,"by David Baldacci","THE HIT",NA,9
"Tracey Garvis-Graves",0,NA,"Tracey Garvis-Graves","None",0,"A00B005L9B5YU",NA,"6/24/12",NA,"by Tracey Garvis-Graves","ON THE ISLAND",NA,9
"Little, Brown",0,NA,"James Patterson and Michael Ledwidge","031612723X",0,"9.78032E+12",NA,"9/11/11",NA,"by James Patterson and Michael Ledwidge","NOW YOU SEE HER",NA,9
"St. Martin's",0,NA,"Greer Hendricks and Sarah Pekkanen","125013093X",0,"9.78125E+12",NA,"6/3/18",NA,"by Greer Hendricks and Sarah Pekkanen","THE WIFE BETWEEN US",NA,8
"Algonquin",0,"https://www.nytimes.com/2018/02/06/books/review/american-marriage-tayari-jones.html","Tayari Jones","1616207604",0,"9.78162E+12",NA,"4/15/18",NA,"by Tayari Jones","AN AMERICAN MARRIAGE",NA,8
"Grand Central",0,NA,"David Baldacci","1455586633",0,"9.78146E+12",NA,"1/21/18",NA,"by David Baldacci","END GAME",NA,8
"Bantam",0,NA,"Janet Evanovich","345543017",0,"9.78035E+12",NA,"10/1/17",NA,"by Janet Evanovich","TURBO TWENTY-THREE",NA,8
"Random House",0,"https://www.nytimes.com/2016/06/05/books/review/the-girls-by-emma-cline.html","Emma Cline","812998618",0,"9.78081E+12",NA,"8/21/16",NA,"by Emma Cline","THE GIRLS",NA,8
"Picador",0,NA,"Michael Punke","1250072689",0,"9.78E+12",NA,"3/20/16",NA,"by Michael Punke","THE REVENANT",NA,8
"Scribner",0,NA,"Stephen King","1501111671",0,"9.78E+12",NA,"1/10/16",NA,"by Stephen King","THE BAZAAR OF BAD DREAMS",NA,8
"Putnam",0,NA,"Nora Roberts","None",0,"9.78E+12",NA,"7/26/15",NA,"by Nora Roberts","WHISKEY BEACH",NA,8
"Delacorte",0,"https://www.nytimes.com/2013/08/30/books/never-go-back-a-jack-reacher-novel-by-lee-child.html","Lee Child","440246326",0,"9.78E+12",NA,"4/27/14",NA,"by Lee Child","NEVER GO BACK",NA,8
"Broadway",0,NA,"Max Brooks","307351939",0,"9.78E+12",NA,"7/28/13",NA,"by Max Brooks","WORLD WAR Z",NA,8
"Little, Brown & Company",0,NA,"James Patterson","316210692",0,"9.78032E+12",NA,"1/20/13",NA,"by James Patterson","MERRY CHRISTMAS, ALEX CROSS",NA,8
"Random House Publishing",0,NA,"Janet Evanovich","345527704",0,"9.78035E+12",NA,"12/18/11",NA,"by Janet Evanovich","SMOKIN’ SEVENTEEN",NA,8
"Grand Central",0,NA,"David Baldacci","446573078",0,"9.78045E+12",NA,"6/26/11",NA,"by David Baldacci","THE SIXTH MAN",NA,8
"Little, Brown",0,NA,"Michael Connelly","316069388",0,"9.78032E+12",NA,"6/12/11",NA,"by Michael Connelly","THE FIFTH WITNESS",NA,8
"Little, Brown",0,NA,"Michael Connelly","316225916",0,"9.78032E+12",NA,"1/14/18",NA,"by Michael Connelly","TWO KINDS OF TRUTH",NA,7
"Knopf",0,NA,"David Lagercrantz","451494334",0,"9.78045E+12",NA,"11/12/17",NA,"by David Lagercrantz","THE GIRL WHO TAKES AN EYE FOR AN EYE",NA,7
"Little, Brown",0,NA,"Michael Connelly","316225975",0,"9.78032E+12",NA,"10/15/17",NA,"by Michael Connelly","THE LATE SHOW",NA,7
"Little, Brown",0,NA,"Michael Connelly","316225959",0,"9.78032E+12",NA,"1/15/17",NA,"by Michael Connelly","THE WRONG SIDE OF GOODBYE",NA,7
"Little, Brown",0,"https://www.nytimes.com/2011/11/24/books/the-drop-by-michael-connelly-review.html","Michael Connelly","None",0,"9.78E+12",NA,"3/27/16",NA,"by Michael Connelly","THE DROP",NA,7
"Little, Brown",0,NA,"James Patterson","316407143",0,"9.78E+12",NA,"1/24/16",NA,"by James Patterson","CROSS JUSTICE",NA,7
"Scribner",0,"https://www.nytimes.com/2014/11/14/books/stephen-kings-revival.html","Stephen King","1476770387",0,"9.78E+12","https://www.nytimes.com/2014/11/23/books/review/stephen-kings-revival.html","1/11/15",NA,"by Stephen King","REVIVAL",NA,7
"Little, Brown",0,NA,"James Patterson and David Ellis",NA,0,"9.78E+12",NA,"8/31/14",NA,"by James Patterson and David Ellis","INVISIBLE",NA,7
"Scribner",0,NA,"Stephen King","1476754462",0,"9.78E+12","https://www.nytimes.com/2014/06/08/books/review/stephen-kings-mr-mercedes.html","8/3/14",NA,"by Stephen King","MR. MERCEDES",NA,7
"Little, Brown",0,NA,"James Patterson and Maxine Paetro","316211281",0,"9.78E+12",NA,"7/6/14",NA,"by James Patterson and Maxine Paetro","UNLUCKY 13",NA,7
"Little, Brown",0,NA,"James Patterson","316210927",0,"9.78E+12",NA,"2/2/14",NA,"by James Patterson","CROSS MY HEART",NA,7
"Grand Central",0,NA,"David Baldacci","None",0,"9.78E+12",NA,"1/19/14",NA,"by David Baldacci","KING AND MAXWELL",NA,7
"Rachel Van Dyken",0,NA,"Rachel Van Dyken","989078310",0,"9.78099E+12",NA,"6/2/13",NA,"by Rachel Van Dyken","THE BET",NA,7
"Knopf Doubleday Publishing",0,NA,"Maeve Binchy","None",0,"9.78039E+12",NA,"4/14/13",NA,"by Maeve Binchy","A WEEK IN WINTER",NA,7
"Colleen Hoover",0,NA,"Colleen Hoover","None",0,"A00B00AQ3K8IU",NA,"2/24/13",NA,"by Colleen Hoover","HOPELESS",NA,7
"Atria Books",0,NA,"Vince Flynn","None",0,"9.78144E+12",NA,"4/8/12",NA,"by Vince Flynn","KILL SHOT",NA,7
"Little, Brown & Company",0,NA,"James Patterson and Marshall Karp","316097551",0,"9.78032E+12",NA,"10/30/11",NA,"by James Patterson and Marshall Karp","KILL ME IF YOU CAN",NA,7
"Grand Central",0,NA,"David Baldacci","1538761378",0,"9.78154E+12",NA,"6/9/18",NA,"by David Baldacci","THE FALLEN",NA,6
"Putnam",0,NA,"John Sandford","1101988843",0,"9.7811E+12",NA,"4/22/18",NA,"by John Sandford","GOLDEN PREY",NA,6
"Scribner",0,NA,"Jason Matthews",NA,0,"9.78148E+12","https://www.nytimes.com/2013/06/02/books/review/red-sparrow-by-jason-matthews.html","4/15/18",NA,"by Jason Matthews","RED SPARROW",NA,6
"Little, Brown",0,NA,"James Patterson and Maxine Paetro","031655345X",0,"9.78032E+12",NA,"2/18/18",NA,"by James Patterson and Maxine Paetro","16TH SEDUCTION",NA,6
"Delacorte",0,NA,"Lee Child","399593594",0,"9.7804E+12",NA,"2/4/18",NA,"by Lee Child","NO MIDDLE NAME",NA,6
"Little, Brown",0,NA,"James Patterson","None",0,"9.78032E+12",NA,"1/14/18",NA,"by James Patterson","THE PEOPLE VS. ALEX CROSS",NA,6
"Crown",0,NA,"Andy Weir","553448129",0,"9.78055E+12",NA,"1/7/18",NA,"by Andy Weir","ARTEMIS",NA,6
"Putnam",0,NA,"Janet Evanovich","399179194",0,"9.7804E+12",NA,"1/7/18",NA,"by Janet Evanovich","HARDCORE TWENTY-FOUR",NA,6
"Simon & Schuster",0,NA,"Nelson DeMille","1501101749",0,"9.7815E+12",NA,"11/12/17",NA,"by Nelson DeMille","THE CUBAN AFFAIR",NA,6
"Little, Brown",0,NA,"Elin Hilderbrand","316375209",0,"9.78032E+12",NA,"8/6/17",NA,"by Elin Hilderbrand","THE IDENTICALS",NA,6
"Little, Brown",0,NA,"James Patterson and David Ellis","316464147",0,"9.78032E+12",NA,"5/21/17",NA,"by James Patterson and David Ellis","THE BLACK BOOK",NA,6
"Norton",0,"https://www.nytimes.com/2017/05/15/books/review/norse-mythology-neil-gaiman-audio.html","Neil Gaiman","039360909X",0,"9.78039E+12",NA,"4/2/17",NA,"by Neil Gaiman","NORSE MYTHOLOGY",NA,6
"HarperCollins",0,NA,"Paulo Coelho","62416219",0,"9.78006E+12",NA,"1/15/17",NA,"by Paulo Coelho","THE ALCHEMIST",NA,6
"Harlequin",0,NA,"Nora Roberts","1459295366",0,"9.78146E+12",NA,"12/11/16",NA,"by Nora Roberts","UNFINISHED BUSINESS",NA,6
"Dutton",0,NA,"Harlan Coben","698411447",0,"9.7807E+12",NA,"11/13/16",NA,"by Harlan Coben","HOME",NA,6
"Scribner",0,"https://www.nytimes.com/2016/06/12/books/review/stephen-kings-end-of-watch.html","Stephen King","1501129740",0,"9.7815E+12",NA,"7/31/16",NA,"by Stephen King","END OF WATCH",NA,6
"Dutton",0,NA,"Harlan Coben","698404173",0,"9.78E+12",NA,"5/15/16",NA,"by Harlan Coben","FOOL ME ONCE",NA,6
"Emily Bestler/Atria",0,NA,"Vince Flynn and Kyle Mills","1476783470",0,"9.78E+12",NA,"11/29/15",NA,"by Vince Flynn and Kyle Mills","THE SURVIVOR",NA,6
"Emily Bestler/Atria",0,NA,"Brad Thor","1476717176",0,"9.78E+12",NA,"8/30/15",NA,"by Brad Thor","CODE OF CONDUCT",NA,6
"Harper",0,NA,"Daniel Silva",NA,0,"9.78E+12",NA,"9/7/14",NA,"by Daniel Silva","THE HEIST",NA,6
"Mulholland/Little, Brown",0,NA,"Robert Galbraith",NA,0,"9.78E+12","https://www.nytimes.com/2014/06/29/books/review/the-silkworm-by-j-k-rowling-as-robert-galbraith.html","8/10/14",NA,"by Robert Galbraith","THE SILKWORM",NA,6
"Little, Brown",0,NA,"James Patterson and Marshall Karp","316211249",0,"9.78E+12",NA,"5/18/14",NA,"by James Patterson and Marshall Karp","NYPD RED 2",NA,6
"Dutton",0,NA,"Harlan Coben","698148630",0,"9.78E+12",NA,"5/11/14",NA,"by Harlan Coben","MISSING YOU",NA,6
"Dell",0,"https://www.nytimes.com/2012/09/10/books/a-wanted-man-a-jack-reacher-novel-by-lee-child.html","Lee Child","440246318",0,"9.78E+12",NA,"6/23/13",NA,"by Lee Child","A WANTED MAN",NA,6
"Little, Brown & Company",0,NA,"Stephenie Meyer","316128651",0,"9.78032E+12",NA,"4/28/13",NA,"by Stephenie Meyer","THE HOST",NA,6
"Simon & Schuster",0,NA,"Vince Flynn","141659521X",0,"9.78142E+12",NA,"1/6/13",NA,"by Vince Flynn","THE LAST MAN",NA,6
"Little, Brown & Company",0,NA,"James Patterson and Mark Sullivan","316206814",0,"9.78032E+12",NA,"4/8/12",NA,"by James Patterson and Mark Sullivan","PRIVATE GAMES",NA,6
"Penguin Group",0,NA,"Sue Grafton","399157867",0,"9.7804E+12","https://www.nytimes.com/2011/11/20/books/review/sue-graftons-v-is-for-vengeance-and-other-crime-books.html","1/8/12",NA,"by Sue Grafton","V IS FOR VENGEANCE",NA,6
"Penguin Group",0,NA,"Charlaine Harris","None",0,"9.7811E+12",NA,"6/26/11",NA,"by Charlaine Harris","DEAD RECKONING",NA,6
"Simon & Schuster",0,NA,"Jodi Picoult","1439102724",0,"9.78144E+12",NA,"4/24/11",NA,"by Jodi Picoult","SING YOU HOME",NA,6
"Putnam",0,NA,"John Sandford","073521736X",0,"9.78074E+12",NA,"6/9/18",NA,"by John Sandford","TWISTED PREY",NA,5
"Delacorte",0,NA,"Danielle Steel","1101883960",0,"9.7811E+12",NA,"5/6/18",NA,"by Danielle Steel","THE RIGHT TIME",NA,5
"Pamela Dorman/Viking",0,NA,"Jojo Moyes","399562478",0,"9.7804E+12",NA,"3/18/18",NA,"by Jojo Moyes","STILL ME",NA,5
"Scribner",0,NA,"Stephen King and Owen King","150116340X",0,"9.7815E+12",NA,"1/7/18",NA,"by Stephen King and Owen King","SLEEPING BEAUTIES",NA,5
"Little, Brown",0,NA,"James Patterson and Howard Roughan","316553476",0,"9.78032E+12",NA,"8/13/17",NA,"by James Patterson and Howard Roughan","MURDER GAMES",NA,5
"St. Martin's",0,NA,"Nora Roberts","1250123100",0,"9.78125E+12",NA,"7/16/17",NA,"by Nora Roberts","COME SUNDOWN",NA,5
"Little, Brown",0,NA,"James Patterson and Michael Ledwidge","1455585300",0,"9.78146E+12",NA,"3/12/17",NA,"by James Patterson and Michael Ledwidge","BULLSEYE",NA,5
"Little, Brown",0,NA,"James Patterson and Candice Fox","316433179",0,"9.78032E+12",NA,"3/5/17",NA,"by James Patterson and Candice Fox","NEVER NEVER",NA,5
"Delacorte",0,NA,"Danielle Steel","425285421",0,"9.78043E+12",NA,"2/19/17",NA,"by Danielle Steel","THE APARTMENT",NA,5
"Putnam",0,NA,"John Sandford","None",0,"9.7807E+12",NA,"6/12/16",NA,"by John Sandford","EXTREME PREY",NA,5
"Random House",0,NA,"Elizabeth Strout","812989074",0,"9.78E+12","https://www.nytimes.com/2016/01/10/books/review/elizabeth-strouts-my-name-is-lucy-barton.html","2/28/16",NA,"by Elizabeth Strout","MY NAME IS LUCY BARTON",NA,5
"Morrow/HarperCollins",0,NA,"Karin Slaughter","006242906X",0,"9.78E+12",NA,"1/17/16",NA,"by Karin Slaughter","PRETTY GIRLS",NA,5
"Harper/HarperCollins",0,NA,"Mitch Albom","62294415",0,"9.78E+12",NA,"1/10/16",NA,"by Mitch Albom","THE MAGIC STRINGS OF FRANKIE PRESTO",NA,5
"Marian Wood/Putnam",0,NA,"Sue Grafton","110161434X",0,"9.78E+12",NA,"10/11/15",NA,"by Sue Grafton","X",NA,5
"Morrow/HarperCollins",0,NA,"Patricia Cornwell","None",0,"9.78E+12",NA,"8/30/15",NA,"by Patricia Cornwell","FLESH AND BLOOD",NA,5
"Random House Publishing",0,NA,"Debbie Macomber","345535111",0,"9.78E+12",NA,"5/24/15",NA,"by Debbie Macomber","THE INN AT ROSE HARBOR",NA,5
"Putnam",0,NA,"John Sandford",NA,0,"9.78E+12",NA,"11/23/14",NA,"by John Sandford","DEADLINE",NA,5
"Grand Central",0,NA,"Sandra Brown","None",0,"9.78E+12",NA,"10/12/14",NA,"by Sandra Brown","MEAN STREAK",NA,5
"Barbara Freethy",0,NA,"Barbara Freethy","None",0,"9.78E+12",NA,"8/10/14",NA,"by Barbara Freethy","DON'T SAY A WORD",NA,5
"Witness Impulse/HarperCollins",0,NA,"Brian McGilloway","None",0,"9.78E+12",NA,"5/11/14",NA,"by Brian McGilloway","LITTLE GIRL LOST",NA,5
"Little, Brown",0,NA,"James Patterson and Mark Sullivan","316211117",0,"9.78E+12",NA,"3/30/14",NA,"by James Patterson and Mark Sullivan","PRIVATE L.A.",NA,5
"Simon & Schuster",0,NA,"Graeme Simsion",NA,0,"9.78E+12","https://www.nytimes.com/2013/10/20/books/review/graeme-simsions-rosie-project.html","3/2/14",NA,"by Graeme Simsion","THE ROSIE PROJECT",NA,5
"Little, Brown",0,NA,"James Patterson and David Ellis","316211060",0,"9.78E+12",NA,"9/22/13",NA,"by James Patterson and David Ellis","MISTRESS",NA,5
"Little, Brown",0,NA,"Michael Connelly","316069442",0,"9.78032E+12",NA,"5/5/13",NA,"by Michael Connelly","THE BLACK BOX",NA,5
"Little, Brown & Company",0,NA,"James Patterson and Marshall Karp","316199893",0,"9.78032E+12",NA,"11/25/12",NA,"by James Patterson and Marshall Karp","NYPD RED",NA,5
"Colleen Hoover",0,NA,"Colleen Hoover","None",0,"A00B006RUJST6",NA,"8/26/12",NA,"by Colleen Hoover","SLAMMED",NA,5
"Grand Central Publishing",0,NA,"Seth Grahame-Smith","446571857",0,"9.78045E+12",NA,"7/22/12",NA,"by Seth Grahame-Smith","ABRAHAM LINCOLN: VAMPIRE HUNTER",NA,5
"Penguin Group",0,NA,"John Sandford",NA,0,"9.7811E+12",NA,"7/8/12",NA,"by John Sandford","STOLEN PREY",NA,5
"Penguin Group",0,NA,"Patricia Cornwell","None",0,"9.7811E+12",NA,"1/22/12",NA,"by Patricia Cornwell","RED MIST",NA,5
"Legacy",0,NA,"CJ Lyons","None",0,"A00B0043M6J92",NA,"10/9/11",NA,"by CJ Lyons","BLIND FAITH",NA,5
"Simon & Schuster",0,NA,"Mary Higgins Clark","1439180962",0,"9.78144E+12",NA,"5/22/11",NA,"by Mary Higgins Clark","I’LL WALK ALONE",NA,5
"Crown",0,NA,"Jean M Auel","517580519",0,"9.78052E+12",NA,"5/22/11",NA,"by Jean M. Auel","THE LAND OF PAINTED CAVES",NA,5
